"type","address","amount","date","time"
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",350.63723695185354,"2018-08-14T13:14:49.000Z",1534252489
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",380,"2018-08-14T13:42:49.000Z",1534254169
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",353.9202756340763,"2018-08-15T14:15:53.000Z",1534342553
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",500,"2018-08-15T17:26:54.000Z",1534354014
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",358.8031127850232,"2018-08-16T13:33:29.000Z",1534426409
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",361.4242616635731,"2018-08-17T13:23:53.000Z",1534512233
"MOVE_BOND","0x526f2caa9a0e7bd7d506591a904e7dd91a62c315",-2877.89864789447,"2018-08-17T17:39:10.000Z",1534527550
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",362.27984755138885,"2018-08-18T10:17:52.000Z",1534587472
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",360.9018852368791,"2018-08-19T09:45:06.000Z",1534671906
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",361.27912872957245,"2018-08-20T09:14:53.000Z",1534756493
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",2904.890502353323,"2018-08-20T13:49:37.000Z",1534772977
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",723.9449108506427,"2018-08-21T01:45:59.000Z",1534815959
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",384.4781853166785,"2018-08-21T08:15:22.000Z",1534839322
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",386.1882645277432,"2018-08-22T07:45:04.000Z",1534923904
"MOVE_BOND","0xc95f7d13e60bc7b916c3925dd74edc0be2189a7a",-7.9073451329082225,"2018-08-22T20:52:20.000Z",1534971140
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",385.37947254091074,"2018-08-23T07:41:58.000Z",1535010118
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",389.45410202849575,"2018-08-24T06:58:01.000Z",1535093881
"BOND","0x86abf78ac7ef44423873dabff35fe3e462b1ff6e",5104.877392007932,"2018-08-24T14:14:11.000Z",1535120051
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",418.08996535061254,"2018-08-25T09:08:53.000Z",1535188133
"REWARD","0x50d69f8253685999b4c74a67ccb3d240e2a56ed6",418.4488465293906,"2018-08-26T05:39:56.000Z",1535261996
"MOVE_BOND","0x526f2caa9a0e7bd7d506591a904e7dd91a62c315",-4484.056679012346,"2018-08-27T03:27:55.000Z",1535340475
